id,driverId,name,year,points
71816,848,Alexander Albon,2022,4
71805,832,Carlos Sainz,2022,246
71804,844,Charles Leclerc,2022,308
71817,817,Daniel Ricciardo,2022,37
71810,839,Esteban Ocon,2022,92
71812,4,Fernando Alonso,2022,81
71807,847,George Russell,2022,275
71813,855,Guanyu Zhou,2022,6
71808,825,Kevin Magnussen,2022,25
71815,840,Lance Stroll,2022,18
71818,846,Lando Norris,2022,122
71806,1,Lewis Hamilton,2022,240
71822,830,Max Verstappen,2022,454
71814,854,Mick Schumacher,2022,12
71819,849,Nicholas Latifi,2022,2
71820,807,Nico HĂĽlkenberg,2022,0
71825,856,Nyck de Vries,2022,2
71823,842,Pierre Gasly,2022,23
71824,20,Sebastian Vettel,2022,37
71821,815,Sergio PĂ©rez,2022,305
71809,822,Valtteri Bottas,2022,49
71811,852,Yuki Tsunoda,2022,12
70751,841,Antonio Giovinazzi,2021,3
70747,832,Carlos Sainz,2021,164
70745,844,Charles Leclerc,2021,159
70746,817,Daniel Ricciardo,2021,115
70752,839,Esteban Ocon,2021,74
70758,4,Fernando Alonso,2021,81
70753,847,George Russell,2021,16
70750,8,Kimi RĂ¤ikkĂ¶nen,2021,10
70749,840,Lance Stroll,2021,34
70743,846,Lando Norris,2021,160
70740,1,Lewis Hamilton,2021,387
70741,830,Max Verstappen,2021,395
70755,854,Mick Schumacher,2021,0
70757,849,Nicholas Latifi,2021,7
70759,853,Nikita Mazepin,2021,0
70756,842,Pierre Gasly,2021,110
70760,9,Robert Kubica,2021,0
70754,20,Sebastian Vettel,2021,43
70744,815,Sergio PĂ©rez,2021,190
70742,822,Valtteri Bottas,2021,226
70748,852,Yuki Tsunoda,2021,32
70199,848,Alexander Albon,2020,105
70195,841,Antonio Giovinazzi,2020,4
70191,832,Carlos Sainz,2020,105
70188,844,Charles Leclerc,2020,98
70205,817,Daniel Ricciardo,2020,119
70198,826,Daniil Kvyat,2020,32
70194,839,Esteban Ocon,2020,62
70201,847,George Russell,2020,3
70208,851,Jack Aitken,2020,0
70203,825,Kevin Magnussen,2020,1
70200,8,Kimi RĂ¤ikkĂ¶nen,2020,4
70204,840,Lance Stroll,2020,75
70189,846,Lando Norris,2020,97
70190,1,Lewis Hamilton,2020,347
70206,830,Max Verstappen,2020,214
70197,849,Nicholas Latifi,2020,0
70207,807,Nico HĂĽlkenberg,2020,10
70193,842,Pierre Gasly,2020,75
70209,850,Pietro Fittipaldi,2020,0
70202,154,Romain Grosjean,2020,2
70196,20,Sebastian Vettel,2020,33
70192,815,Sergio PĂ©rez,2020,125
70187,822,Valtteri Bottas,2020,223
69742,848,Alexander Albon,2019,92
69743,841,Antonio Giovinazzi,2019,14
69748,832,Carlos Sainz,2019,96
69733,844,Charles Leclerc,2019,264
69747,817,Daniel Ricciardo,2019,54
69738,826,Daniil Kvyat,2019,37
69744,847,George Russell,2019,0
69734,825,Kevin Magnussen,2019,20
69736,8,Kimi RĂ¤ikkĂ¶nen,2019,43
69737,840,Lance Stroll,2019,21
69740,846,Lando Norris,2019,49
69730,1,Lewis Hamilton,2019,413
69731,830,Max Verstappen,2019,278
69735,807,Nico HĂĽlkenberg,2019,37
69739,842,Pierre Gasly,2019,95
69745,9,Robert Kubica,2019,1
69746,154,Romain Grosjean,2019,8
69732,20,Sebastian Vettel,2019,240
69741,815,Sergio PĂ©rez,2019,52
69729,822,Valtteri Bottas,2019,326
69123,843,Brendon Hartley,2018,4
69118,832,Carlos Sainz,2018,53
69121,844,Charles Leclerc,2018,39
69112,817,Daniel Ricciardo,2018,170
69120,839,Esteban Ocon,2018,49
69113,4,Fernando Alonso,2018,50
69125,825,Kevin Magnussen,2018,56
69111,8,Kimi RĂ¤ikkĂ¶nen,2018,251
69122,840,Lance Stroll,2018,6
69110,1,Lewis Hamilton,2018,408
69127,828,Marcus Ericsson,2018,9
69114,830,Max Verstappen,2018,249
69115,807,Nico HĂĽlkenberg,2018,69
69126,842,Pierre Gasly,2018,29
69124,154,Romain Grosjean,2018,37
69109,20,Sebastian Vettel,2018,320
69128,845,Sergey Sirotkin,2018,1
69119,815,Sergio PĂ©rez,2018,62
69117,838,Stoffel Vandoorne,2018,12
69116,822,Valtteri Bottas,2018,247
68595,841,Antonio Giovinazzi,2017,0
68608,843,Brendon Hartley,2017,0
68591,832,Carlos Sainz,2017,54
68600,817,Daniel Ricciardo,2017,200
68592,826,Daniil Kvyat,2017,5
68593,839,Esteban Ocon,2017,87
68589,13,Felipe Massa,2017,43
68597,4,Fernando Alonso,2017,17
68605,18,Jenson Button,2017,0
68602,835,Jolyon Palmer,2017,8
68598,825,Kevin Magnussen,2017,19
68587,8,Kimi RĂ¤ikkĂ¶nen,2017,205
68599,840,Lance Stroll,2017,40
68585,1,Lewis Hamilton,2017,363
68601,828,Marcus Ericsson,2017,0
68588,830,Max Verstappen,2017,168
68594,807,Nico HĂĽlkenberg,2017,43
68604,836,Pascal Wehrlein,2017,5
68606,814,Paul di Resta,2017,0
68607,842,Pierre Gasly,2017,0
68603,154,Romain Grosjean,2017,28
68584,20,Sebastian Vettel,2017,317
68590,815,Sergio PĂ©rez,2017,100
68596,838,Stoffel Vandoorne,2017,13
68586,822,Valtteri Bottas,2017,305
